33 20.880, -117 34.050, San Onofre Kelp
32 51.340, -117 16.620, The Cove
32 51.490, -117 16.910, The Bump
32 51.220, -117 17.620, The Half
32 50.630, -117 18.460, Northwest Corner
32 50.750, -117 19.950, 32 Fathom Spot rockfish
32 50.175, -117 17.715, Marine Street
32 49.716, -117 17.508, Windansea
32 47.580, -117 16.580, Crystal Pier
32 46.710, -117 20.890, The 270 rockfish area
32 45.970, -117 22.170, Widow Rock
32 45.570, -117 18.460, The Airplane rockfish area
32 43.790, -117 16.660, Hill Street
32 43.180, -117 16.630, College Area / Sunset Cliffs
32 42.610, -117 16.740, Green Tank
32 41.450, -117 16.310, The Lab
32 41.140, -117 15.990, New Hope Rock
32 40.870, -117 16.160, 5 Tanks
32 40.350, -117 17.000, Point Loma Pipe
32 39.150, -117 15.720, The Dropoff
32 38.250, -117 14.500, Buoy 3 Hardbottom
32 37.470, -117 14.720, Whistler Buoy
32 40.300, -117 13.400, Zuniga Jetty
32 40.100, -117 11.280, Hotel Del Hardbottom
32 34.500, -117 09.600, Imperial Beach Kelp
32 33.000, -117 09.000, Imperial Beach Kelp South End
32 34.000, -117 12.000, Imperial Beach Flats
32 32.300, -117 10.800, Imperial Beach Pipe
32 32.672, -117 14.885, International Reef A
32 32.668, -117 14.900, International Reef B
32 32.625, -117 14.833, International Reef C
32 32.647, -117 14.803, International Reef D
32 32.717, -117 14.842, International Reef E
32 32.567, -117 14.783, International Reef F
32 32.495, -117 14.790, International Reef Missle Tower
33 02.650, -118 37.580, The 9 Spot (cod)
33 02.070, -118 36.780, West End (Castle Rock)
33 00.500, -118 35.670, West Cove
33 02.000, -118 35.250, North West Harbor
32 59.460, -118 35.370, Dunes
32 56.930, -118 33.880, Whitefish
33 02.200, -118 31.020, White Spot
32 56.670, -118 30.100, Gold Bluff
32 53.100, -118 35.700, Wagon Tracks
32 53.580, -118 26.360, White Rock
32 52.230, -118 24.750, Purse Seine Rock
32 45.520, -118 24.520, Desperation Reef (cod)
32 48.920, -118 21.250, Pyramid Head
32 48.000, -118 21.500, Pyramid Reef
32 49.000, -118 23.000, Pyramid Cove
32 48.450, -118 24.170, The Caves
32 46.000, -118 24.500, 29 Fathom Spot (cod)
32 47.750, -118 26.000, China Point
32 48.000, -118 31.500, The Nipple
32 51.060, -118 30.210, Lost Point
32 55.170, -118 33.410, Eel Point
32 26.850, -117 18.000, Pukey Point
32 25.810, -117 15.950, Middle Grounds
32 24.800, -117 13.880, Ribbon Kelp
32 23.290, -117 14.570, Lighthouse
32 22.940, -117 13.515, 5 Minute Kelp
32 22.000, -117 13.260, South Kelp Ridge
32 17.620, -117 10.030, Rockpile
32 32.500, -117 20.500, Lower 9 Mile Bank Rockfish Area
32 32.500, -117 20.500, Lower 9 Mile Bank Rockfish Area
32 30.300, -117 17.500, Coronado Canyon Rockfish Area
32 30.300, -117 17.500, Coronado Canyon Rockfish Area
32 27.380, -117 18.000, North of North Island rockfish area
32 27.380, -117 18.000, North of North Island rockfish area
32.27.000, -117.14.100, East of Pukey Point rockfish area
32 31.500, -117 08.600, Bull Ring
32 21.000, -117 06.500, Rosarito Flats (Big area)
32 15.880, -117 01.890, Punta Descanso
32 14.836, -117 00.876, Descanso rockfish area 1
32 14.447, -116 58.562, Descanso rockfish area 2
32 13.365, -116 57.814, Sugarloaf Rock
32 09.580, -116 54.800, Punta Mesquite
32 08.460, -116 54.150, La Fonda
32 00.500, -116 52.650, Bajamar
31 58.385, -116 50.010, Punta Salsipuedes
32 16.360, -117 10.470, Upper Finger Bank rockfish 180ft
32 15.130, -117 10.260, Upper Finger Bank rockfish 240ft
32 15.110, -117 10.950, Upper Finger Bank rockfish 300ft
32 14.836, -117 00.876, Descanso rockfish 1
32 14.480, -117 11.330, Upper Finger Bank 71 Fathom Spot
32 14.447, -116 58.562, Descanso rockfish 2
32 14.000, -117 07.100, Upper Finger Bank 27 Fathom Spot
32 13.365, -116 57.814, Sugarloaf Rock
31 54.110, -116 44.980, Punta San Miguel
31 52.185, -116 41.260, Punta Morro
31 51.200, -116 48.100, San Miguel Reef
31 45.430, -116 45.330, Punta Banda (Caution - boilers)
31 43.440, -116 43.380, La Bufadora
31 41.080, -116 40.400, White Rock
31 38.550, -116 38.930, El Retiro
31 37.120, -116 40.540, Billy's Bluff
31 37.000, -116 46.500, 4? Fa. Spot
31 35.600, -116 49.000, 48 Pa. Spot
31 35.200, -116 39.800, Bahia Soledad
31 34.900, -116 42.900, 15 Fa Ridge
31 33.270, -116 41.400, Punta Santo Tomas
31 33.000, -116 42.900, Isolete
31 30.500, -116 43.200, 38 Pa. Spot
31 29.000, -116 42.800, 33 Fa. Spot
30 53.800, -116 30.200, Colonet High Spot 28 Fathom
30 50.600, -116 30.350, Colonet 41 Fathoms
30 29.180, -116 06.150, San Martin Island Anchorage
30 29.060, -116 05.910, San Martin Island Natural Jetty Kelp
30 26.300, -116 07.000, Roca Ben (Caution - shoals / boilers)
30 26.300, -116 07.000, Roca Ben (Caution - shoals / boilers)
30 25.600, -116 09.100, 6.5 Fathom Spot
30 22.000, -116 05.000, 15 Fathom Spot
30 20.100, -116 06.700, Breakers (240)
30 17.000, -115 49.000, Tranquillo Kelp
